City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,enewetak,11.3474,162.3373,301.8,73,39,5.48,MH,1697082695
84,clinton,42.587,-82.9199,283.45,89,40,0.0,US,1697082680
85,san pedro pochutla,15.7333,-96.4667,298.78,83,76,5.09,MX,1697082134
86,georgetown,5.4112,100.3354,303.12,79,20,1.54,MY,1697082428
87,nanping,26.645,118.1736,297.82,66,94,1.12,CN,1697082697
88,saint-philippe,-21.3585,55.7679,297.92,58,90,0.92,RE,1697082697
89,ketchikan,55.3422,-131.6461,283.14,87,0,2.06,US,1697082697
90,banda aceh,5.5577,95.3222,301.72,73,100,1.84,ID,1697082698
91,vernon,50.2581,-119.2691,286.35,71,100,1.03,CA,1697082674
92,punta arenas,-53.15,-70.9167,279.21,75,75,11.32,CL,1697082463
93,wailua homesteads,22.0669,-159.378,300.39,77,20,5.14,US,1697082109
94,tazovsky,67.4667,78.7,274.93,98,100,3.1,RU,1697082699
95,ust-nera,64.5667,143.2,266.05,92,100,1.34,RU,1697082699
96,acapulco de juarez,16.8634,-99.8901,299.05,89,40,2.06,MX,1697082514
97,colonia,50.9333,6.95,292.02,72,100,5.66,DE,1697082591
98,sao jose da coroa grande,-8.8978,-35.1478,296.56,83,7,2.65,BR,1697082700
99,invercargill,-46.4,168.35,286.49,81,91,7.15,NZ,1697082700
100,glace bay,46.1969,-59.957,286.4,95,100,2.57,CA,1697082701
101,college,64.8569,-147.8028,269.33,89,75,2.06,US,1697082701
102,badger,64.8,-147.5333,269.29,91,100,2.06,US,1697082701
103,papatowai,-46.5619,169.4708,285.09,71,54,5.97,NZ,1697082701
104,new norfolk,-42.7826,147.0587,289.87,65,91,5.42,AU,1697082702
105,crane,31.3974,-102.3501,295.24,66,0,11.05,US,1697082702
106,libenge,3.65,18.6333,294.53,93,97,0.59,CD,1697082702
107,nadym,65.5333,72.5167,274.67,78,100,2.14,RU,1697082555
108,tarinkot,32.6268,65.8733,296.76,14,0,1.54,AF,1697082703
109,santana,-0.0583,-51.1817,301.25,78,20,3.6,BR,1697082704
110,selma,36.5708,-119.6121,292.18,48,0,2.06,US,1697082704
